SEASON,LAT,LON,WMO_WIND,WMO_PRES,DIST2LAND
Year,degrees_north,degrees_east,kts,mb,km
1973,-12.1467,115,20,1005,369
1973,-12.3697,115,25,1004,403
1973,-12.5901,115.013,25,1003,425
1973,-12.8638,115.019,25,1002,459
1973,-13.1069,115.021,25,1002,481
1973,-13.3482,115.024,25,1002,504
1973,-13.6414,115.028,25,1001,537
1973,-14.0005,115.031,25,1000,580
1973,-14.4257,114.984,25,1000,623
1973,-14.945,114.841,30,997,668
1973,-15.4756,114.681,30,996,608
1973,-15.9575,114.541,30,994,564
1973,-16.4212,114.388,40,992,528
1973,-16.8748,114.209,40,990,490
1973,-17.2573,113.951,45,990,464
1973,-17.6277,113.64,50,986,459
1973,-17.7959,113.241,60,980,465
1973,-17.8106,112.894,70,970,472
1973,-17.8028,112.523,70,970,484
1973,-17.8292,112.052,70,970,499
1973,-17.932,111.449,70,970,523
1973,-18.0893,110.71,70,970,547
1973,-18.2977,109.853,75,968,587
1973,-18.6155,109.017,75,966,638
1973,-18.9252,108.303,80,964,682
1973,-19.2111,107.862,80,964,703
1973,-19.4552,107.425,80,964,730
1973,-19.6652,107.035,80,964,757
1973,-19.8637,106.668,80,964,775
1973,-20.0517,106.301,80,965,805
1973,-20.2701,105.94,80,965,837
1973,-20.5107,105.507,80,965,869
1973,-20.79,105.056,80,965,900
1973,-20.9939,104.642,80,968,945
1973,-21.2137,104.223,70,970,981
1973,-21.497,103.796,70,970,1016
1973,-21.812,103.365,65,975,1053
1973,-22.154,102.907,65,975,1099
1973,-22.5235,102.444,60,978,1141
1973,-22.6999,102.243,55,980,1156
1973,-23.1734,101.481,55,982,1217
1973,-23.4429,100.888,55,982,1274
1973,-23.7318,100.41,50,985,1321
1973,-23.9988,100.023,50,985,1358
1973,-24.425,99.8378,50,986,1369
1973,-24.9391,99.7365,50,987,1369
1973,-25.3518,99.6067,45,990,1372
1973,-25.4686,99.5004,45,990,1381
1973,-25.6114,99.1277,40,992,1420
1973,-25.5163,98.8955,40,992,1441
1973,-25.372,98.718,40,992,1462
1973,-25.2017,98.5928,40,992,1474
1973,-25.0573,98.5274,35,993,1486
1973,-24.9362,98.5057,35,994,1489
1973,-24.7989,98.4917,35,995,1491
1973,-24.617,98.4974,30,996,1494
1973,-24.5,98.5,25,997,1496
1973,-14.694,119.862,25,1007,371
1973,-14.5238,119.643,25,1004,410
1973,-14.7434,119.513,25,1002,402
1973,-14.8196,119.385,25,1001,403
1973,-14.9274,119.259,25,1001,404
1973,-15.0505,118.982,25,1001,417
1973,-15.24,118.743,25,1001,439
1973,-15.5073,118.533,25,1000,443
1973,-15.847,118.361,30,999,438
1973,-16.2123,118.251,30,998,433
1973,-16.5804,118.147,35,996,405
1973,-16.8914,118.03,35,994,376
1973,-17.1789,117.885,40,992,348
1973,-17.4584,117.711,45,990,326
1973,-17.7305,117.509,50,988,308
1973,-17.9829,117.34,60,986,281
1973,-18.2379,117.168,60,984,263
1973,-18.4487,116.965,65,980,246
1973,-18.8085,116.812,70,975,201
1973,-19.1387,116.754,80,970,167
1973,-19.5057,116.873,85,960,123
1973,-19.9619,117.131,85,960,74
