station_no,year,time,month,day,lat,lon,dist2land
1,1848,06,01,11,-9,79,1679
1,1848,09,01,11,-9.40782,77.7341,1744
1,1848,12,01,11,-9.83076,76.4735,1817
1,1848,15,01,11,-10.2882,75.2264,1911
1,1848,18,01,11,-10.8,74,2007
1,1848,21,01,11,-11.3723,72.8105,1885
1,1848,00,01,12,-11.9552,71.7163,1748
1,1848,03,01,12,-12.4854,70.7885,1635
1,1848,06,01,12,-12.9,70.1,1547
1,1848,09,01,12,-13.1117,69.7326,1498
1,1848,12,01,12,-13.2098,69.6001,1483
1,1848,15,01,12,-13.2532,69.5927,1477
1,1848,18,01,12,-13.3,69.6,1477
1,1848,21,01,12,-13.4356,69.4531,1462
1,1848,00,01,13,-13.585,69.3,1432
1,1848,03,01,13,-13.7419,69.1469,1407
1,1848,06,01,13,-13.9,69,1386
1,1848,09,01,13,-14.0459,68.8677,1371
1,1848,12,01,13,-14.1924,68.7424,1341
1,1848,15,01,13,-14.3428,68.6208,1326
1,1848,18,01,13,-14.5,68.5,1306
1,1848,21,01,13,-14.6678,68.3669,1285
1,1848,00,01,14,-14.8425,68.235,1261
1,1848,03,01,14,-15.0209,68.1106,1241
1,1848,06,01,14,-15.2,68,1221
1,1848,09,01,14,-15.379,67.9065,1201
1,1848,12,01,14,-15.5575,67.8274,1181
1,1848,15,01,14,-15.7322,67.7596,1175
1,1848,18,01,14,-15.9,67.7,1156
1,1848,21,01,14,-16.0491,67.6347,1141
1,1848,00,01,15,-16.1925,67.5775,1131
1,1848,03,01,15,-16.3397,67.5316,1117
1,1848,06,01,15,-16.5,67.5,1107
1,1848,09,01,15,-16.6897,67.4815,1099
1,1848,12,01,15,-16.8925,67.4775,1090
1,1848,15,01,15,-17.0991,67.4847,1082
1,1848,18,01,15,-17.3,67.5,1074
1,1848,21,01,15,-17.2523,67.313,1054
1,1848,00,01,16,-17.2331,67.1644,1048
1,1848,03,01,16,-17.4223,67.2081,1040
1,1848,06,01,16,-18,67.6,1060
1,1848,09,01,16,-19.1901,68.471,1126
1,1848,12,01,16,-20.7619,69.7244,1239
1,1848,15,01,16,-22.5269,71.2669,1418
1,1848,18,01,16,-24.3,73,1624
1,1848,21,01,16,-25.939,74.836,1845
